Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,RIA.GC.ng.g,logRIA,Days_past_conc,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,repro_state
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.06,3629,4/24/10,4,2010,1462.402778,34.48577605,3.540546951,32,6 weeks,80,26.36930964,2109.544771,Preg4B,7.654227455,1st_Trimester
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.047,4114,8/17/10,8,2010,10:03,40.34545543,3.69747876,147,20 weeks,80,28.40009738,2900.435477,Preg6,7.972616169,3rd_Trimester
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.019,4176,9/3/10,9,2010,1462.379167,51.93844178,3.950059205,164,22 weeks,80,12.85930347,3248.666141,Preg6,8.085999773,3rd_Trimester
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.093,3757,5/17/10,5,2010,1462.380556,25.2729452,3.229734464,55,8 weeks,80,53.94251311,2784.129709,Preg8,7.931690611,1st_Trimester
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.072,3829,6/4/10,6,2010,1462.369444,14.68779109,2.687016611,73,10 weeks,80,14.59306965,972.8713098,Preg8,6.880251812,2nd_Trimester
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.05,4318,10/4/10,10,2010,1462.377083,22.87556635,3.130069369,195,26 weeks,80,19.208867,1844.051232,Preg8,7.519720187,Lactating_3
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.075,3621,4/23/10,4,2010,1462.370139,22.86823802,3.129748962,27,4 weeks,80,39.9564551,2557.213126,Preg4B,7.846673322,1st_Trimester
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.065,3722,5/13/10,5,2010,1462.426389,24.20605754,3.186602913,47,8 weeks,80,23.87863591,1763.345421,Preg4B,7.474968091,1st_Trimester
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.049,3870,6/9/10,6,2010,1462.491667,24.0979926,3.182128542,74,10 weeks,80,12.62432078,1236.668158,Preg5B,7.120176073,2nd_Trimester
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.039,3964,7/16/10,7,2010,1462.422222,17.4322516,2.858322031,111,16 weeks,80,13.94406515,1716.192634,Preg5B,7.447863531,2nd_Trimester
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.066,4153,8/30/10,8,2010,1462.382639,34.32929834,3.535999169,156,22 weeks,80,23.26560767,1692.044194,Preg6,7.433692659,3rd_Trimester
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.065,3171,11/27/09,11,2009,1462.461111,21.76153743,3.080144073,-80,-12 weeks,80,9.807764044,724.2656524,Preg15,6.585158248,PreG_3
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.053,3619,4/23/10,4,2010,1462.370139,51.58183344,3.943169545,67,10 weeks,80,13.28974574,1203.599614,Preg4B,7.093072024,2nd_Trimester
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.078,3724,5/13/10,5,2010,1462.427778,24.26888283,3.189194988,87,12 weeks,80,4.300115226,264.6224754,Preg4B,5.578304189,2nd_Trimester
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.072,3875,6/10/10,6,2010,1462.360417,22.39409407,3.108797267,115,16 weeks,80,11.56066833,770.7112221,Preg5B,6.647313754,2nd_Trimester
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.021,3963,7/16/10,7,2010,1462.399306,35.71818683,3.575659994,151,20 weeks,80,8.194990293,1873.140638,Preg5B,7.535371787,3rd_Trimester
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.055,4154,8/30/10,8,2010,1462.383333,28.40011483,3.346393188,196,26 weeks,80,14.73039351,1285.561616,Preg6,7.158950957,Lactating_3
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.074,1787,10/30/08,10,2008,1462.390278,20.86340518,3.037996676,19,4 weeks,80,23.46152424,1521.828599,Preg15,7.327667916,1st_Trimester
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.065,1901,1/31/09,1,2009,1462.46875,23.71318853,3.166031371,112,16 weeks,80,10.07678212,744.1316025,Preg17,6.612217904,2nd_Trimester
