Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,Days_past_conc,Takeover_Date,Tkov_Notes,takeover,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,unit_size,Rank_3,repro_state,rain30,mminT30,std_rain30,std_mminT30
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.075,3621,4/23/10,4,2010,1462.370139,27,4/17/06,,none,4 weeks,80,39.9564551,2557.213126,Preg4B,7.846673322,large,Low,1st_Trimester,62.5,9.475,-0.422938161,0.47730772
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.065,3722,5/13/10,5,2010,1462.426389,47,4/17/06,,none,8 weeks,80,23.87863591,1763.345421,Preg4B,7.474968091,large,Low,1st_Trimester,50,10.06,-0.493644516,0.960446638
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.049,3870,6/9/10,6,2010,1462.491667,74,4/17/06,,none,10 weeks,80,12.62432078,1236.668158,Preg5B,7.120176073,large,Low,2nd_Trimester,185.6,10.32903226,0.273378022,1.182634596
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.039,3964,7/16/10,7,2010,1462.422222,111,4/17/06,,none,16 weeks,80,13.94406515,1716.192634,Preg5B,7.447863531,large,Low,2nd_Trimester,125.5,8.8,-0.066578132,-0.080160263
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.066,4153,8/30/10,8,2010,1462.382639,156,4/17/06,,none,22 weeks,80,23.26560767,1692.044194,Preg6,7.433692659,large,Low,3rd_Trimester,481.7,7.814814815,1.948270159,-0.893803519
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.053,3619,4/23/10,4,2010,1462.370139,67,4/17/06,Francisco = new male,none,10 weeks,80,13.28974574,1203.599614,Preg4B,7.093072024,large,High,2nd_Trimester,62.5,9.475,-0.422938161,0.47730772
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.078,3724,5/13/10,5,2010,1462.427778,87,4/17/06,Francisco = new male,none,12 weeks,80,4.300115226,264.6224754,Preg4B,5.578304189,large,High,2nd_Trimester,50,10.06,-0.493644516,0.960446638
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.072,3875,6/10/10,6,2010,1462.360417,115,4/17/06,Francisco = new male,none,16 weeks,80,11.56066833,770.7112221,Preg5B,6.647313754,large,High,2nd_Trimester,200.6,10.25806452,0.358225648,1.124023865
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.021,3963,7/16/10,7,2010,1462.399306,151,4/17/06,Francisco = new male,none,20 weeks,80,8.194990293,1873.140638,Preg5B,7.535371787,large,High,3rd_Trimester,125.5,8.8,-0.066578132,-0.080160263
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.074,1787,10/30/08,10,2008,1462.390278,19,1/29/08,Nafta = new male,none,4 weeks,80,23.46152424,1521.828599,Preg15,7.327667916,small,High,1st_Trimester,93.6,8.351724138,-0.24702075,-0.450381657
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.065,1901,1/31/09,1,2009,1462.46875,112,1/29/08,Nafta = new male,none,16 weeks,80,10.07678212,744.1316025,Preg17,6.612217904,small,High,2nd_Trimester,0,6.561538462,-0.776469936,-1.928857505
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.081,1944,2/7/09,2,2009,1462.404167,119,1/29/08,Nafta = new male,none,16 weeks,80,17.44146351,1033.568208,Preg17,6.940772374,small,High,2nd_Trimester,0,9.412,-0.776469936,0.425277375
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.082,1958,2/9/09,2,2009,1462.477083,121,1/29/08,Nafta = new male,none,16 weeks,80,16.70106021,977.6230367,Preg17,6.885124153,small,High,2nd_Trimester,0,9.404,-0.776469936,0.418670347
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.067,1974,2/13/09,2,2009,1462.420139,125,1/29/08,Nafta = new male,none,18 weeks,80,6.881329507,492.9907706,Preg17,6.200490453,small,High,3rd_Trimester,0,9.526923077,-0.776469936,0.520189872
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.048,1998,2/18/09,2,2009,1462.416667,130,1/29/08,Nafta = new male,none,18 weeks,80,6.101606676,610.1606676,Preg17,6.413722312,small,High,3rd_Trimester,0.5,9.876,-0.773641682,0.808484995
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.068,2060,3/2/09,3,2009,1462.371528,142,1/29/08,Nafta = new male,none,20 weeks,80,6.104296018,430.8914836,Preg18,6.06585628,small,High,3rd_Trimester,0.6,11.11153846,-0.773076031,1.828889637
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.042,2106,3/8/09,3,2009,1462.468056,148,1/29/08,Nafta = new male,none,20 weeks,80,8.040940377,918.9646145,Preg18,6.823247617,small,High,3rd_Trimester,1.3,8.910344828,-0.769116475,0.010971157
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.071,2119,3/11/09,3,2009,1462.352083,151,1/29/08,Nafta = new male,none,20 weeks,80,13.40863307,906.4991371,Preg18,6.809590078,small,High,3rd_Trimester,1.3,9,-0.769116475,0.085015435
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.097,2147,3/15/09,3,2009,1462.485417,155,1/29/08,Nafta = new male,none,22 weeks,80,13.81969159,683.8610274,Preg18,6.527754721,small,High,3rd_Trimester,1.3,9.203448276,-0.769116475,0.253038991
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.079,2164,3/21/09,3,2009,1462.499306,161,1/29/08,Nafta = new male,none,22 weeks,80,19.56092918,1188.512153,Preg18,7.080457512,small,High,3rd_Trimester,31.8,9.064285714,-0.596592969,0.138107624
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.066,2183,3/25/09,3,2009,8:42,165,1/29/08,Nafta = new male,none,22 weeks,80,16.56888898,1205.010108,Preg18,7.094243234,small,High,3rd_Trimester,31.8,9.35,-0.596592969,0.374072908
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.064,2212,3/30/09,3,2009,1462.390972,170,1/29/08,Nafta = new male,none,24 weeks,80,22.23801103,1667.850827,Preg18,7.419291147,small,High,3rd_Trimester,38.7,9.255555556,-0.557563061,0.296073273
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.058,2251,4/4/09,4,2009,1462.45,175,1/29/08,Nafta = new male,none,24 weeks,80,16.43272511,1359.949664,Preg18,7.215202966,small,High,3rd_Trimester,38.7,9.166666667,-0.557563061,0.222661851
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.058,2303,4/8/09,4,2009,1462.436111,179,1/29/08,Nafta = new male,none,24 weeks,80,14.60004912,1208.279927,Preg18,7.096953079,small,High,3rd_Trimester,38.1,9.203703704,-0.560956966,0.253249943
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.122,2048,2/27/09,2,2009,1462.383333,139,1/29/08,Nafta = new male,none,20 weeks,80,11.3984927,448.4652864,Preg2,6.105831279,small,High,3rd_Trimester,0.6,10.79615385,-0.773076031,1.56842027
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.081,2335,4/10/09,4,2009,1462.371528,181,1/29/08,Nafta = new male,none,24 weeks,80,11.77097588,697.5393114,Preg2,6.547558873,small,High,3rd_Trimester,44.6,9.225925926,-0.524189662,0.271602799
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.098,2026,2/23/09,2,2009,1462.486806,135,1/29/08,Nafta = new male,none,18 weeks,80,9.381297708,459.4921327,Preg4B,6.13012182,small,High,3rd_Trimester,0.5,10.22307692,-0.773641682,1.095128359
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.056,840,7/10/07,7,2007,1462.379167,17,1/29/08,Nafta = new male,0_3mo,4 weeks,80,10.65487699,913.2751706,Preg14,6.817037227,large,Low,1st_Trimester,487.8,7.5,1.98277486,-1.153802304
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.055,903,8/17/07,8,2007,1462.500694,55,1/29/08,Nafta = new male,0_3mo,8 weeks,80,20.46871531,1786.360609,Preg14,7.48793565,large,Low,1st_Trimester,252,6.992,0.64897018,-1.573348579
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.042,1048,12/13/07,12,2007,1462.397222,173,1/29/08,Nafta = new male,0_3mo,24 weeks,80,7.07351508,808.4017235,Preg14,6.695059118,large,Low,3rd_Trimester,0,6.230434783,-0.776469936,-2.202308913
Preg_9,ID_9,C,M,multi,6/23/07,12/22/07,12,22,7,0.044,981,10/24/07,10,2007,1462.464583,123,1/29/08,Nafta = new male,0_3mo,18 weeks,80,6.048228363,659.8067305,Preg1B,6.49194696,large,Low,3rd_Trimester,65.1,7.144827586,-0.408231239,-1.447131562
